,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
31,31.0,1665.0,1659.0,6.0,99.63963963963964,0.36036036036036023,51613.0,49914.0,1699.0,30.41552158043228,71.20704107292539,40.79151949249311,29.378457916421425,1699.0,114193.0,687.0,49914.0,0.6960773125596872,0.3039226874403128,0.3041552158043228,29.378457916421425,0.712070410729254,0.6958447841956772,0.03291806327863135,0.06292709124243041
32,32.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,53278.0,51569.0,1709.0,31.424009944731182,71.62615255658005,40.20214261184887,30.174956114686953,1709.0,112538.0,677.0,51569.0,0.6861970172920183,0.31380298270798174,0.3142400994473118,30.174956114686953,0.7162615255658005,0.6857599005526882,0.03207702991854049,0.061404139120436914
33,33.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,54943.0,53226.0,1717.0,32.43371702608664,71.96144174350377,39.52772471741713,30.999417588817707,1717.0,110881.0,669.0,53226.0,0.6762926969902638,0.32370730300973616,0.3243371702608664,30.999417588817707,0.7196144174350377,0.6756628297391336,0.031250568771272046,0.0598998761534302
34,34.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,56608.0,54878.0,1730.0,33.440377314800706,72.50628667225482,39.06590935745411,31.721387283236993,1730.0,109229.0,656.0,54878.0,0.6664484392737232,0.3335515607262768,0.33440377314800707,31.721387283236993,0.7250628667225482,0.6655962268519929,0.03056105144149237,0.058650032206665086
35,35.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,58273.0,56536.0,1737.0,34.450693754684444,72.79966471081308,38.34897095612863,32.548071387449625,1737.0,107571.0,649.0,56536.0,0.656532106454926,0.34346789354507395,0.3445069375468444,32.548071387449625,0.7279966471081307,0.6554930624531555,0.029807972817599917,0.05727097380438187
36,36.0,1664.0,1655.0,9.0,99.45913461538461,0.5408653846153868,59937.0,58191.0,1746.0,35.45918211898335,73.17686504610226,37.717682927118915,33.328178694158076,1746.0,105916.0,640.0,58191.0,0.6466458049287357,0.35335419507126425,0.35459182118983346,33.328178694158076,0.7317686504610227,0.6454081788101665,0.029130587116472297,0.05603067888259551
37,37.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,61602.0,59849.0,1753.0,36.46949855886708,73.47024308466052,37.00074452579344,34.14090131203651,1753.0,104258.0,633.0,59849.0,0.6367294721099386,0.3632705278900614,0.3646949855886708,34.14090131203651,0.7347024308466052,0.6353050144113291,0.028456868283497288,0.054791523410639496
38,38.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,63267.0,61506.0,1761.0,37.47920564022254,73.80553227158424,36.3263266313617,34.92674616695059,1761.0,102601.0,625.0,61506.0,0.6268251518081841,0.37317484819181584,0.3747920564022254,34.92674616695059,0.7380553227158424,0.6252079435977747,0.02783441604628005,0.05364568260399372
39,39.0,1665.0,1650.0,15.0,99.09909909909909,0.9009009009009077,64932.0,63156.0,1776.0,38.48464721188005,74.43419949706622,35.949552285186165,35.560810810810814,1776.0,100951.0,610.0,63156.0,0.617004919125729,0.382995080874271,0.3848464721188005,35.560810810810814,0.7443419949706622,0.6151535278811995,0.02735169099981519,0.05276449092367569
40,40.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,66597.0,64807.0,1790.0,39.490698142065845,75.02095557418274,35.53025743211689,36.205027932960895,1790.0,99300.0,596.0,64807.0,0.6071726739262311,0.39282732607376886,0.3949069814206585,36.205027932960895,0.7502095557418273,0.6050930185793415,0.026878087601543612,0.05189684415000797
41,41.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,68262.0,66462.0,1800.0,40.49918650636475,75.44006705783738,34.94088055147263,36.92333333333333,1800.0,97645.0,586.0,66462.0,0.5972923786585622,0.4027076213414378,0.4049918650636475,36.92333333333333,0.7544006705783739,0.5950081349363525,0.02636899006768041,0.05095685652813951
42,42.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,69927.0,68117.0,1810.0,41.50767487066365,75.85917854149204,34.35150367082839,37.633701657458566,1810.0,95990.0,576.0,68117.0,0.5874120833908933,0.4125879166091067,0.4150767487066365,37.633701657458566,0.7585917854149203,0.5849232512933634,0.025884136313584168,0.05006015515882345
